frame,image_path,speed
0,data/training_images/0.jpg,28.105569
1,data/training_images/1.jpg,28.105569
2,data/training_images/2.jpg,28.106527
3,data/training_images/3.jpg,28.130404
4,data/training_images/4.jpg,28.109243
5,data/training_images/5.jpg,28.088572
6,data/training_images/6.jpg,28.034211
7,data/training_images/7.jpg,28.018491
8,data/training_images/8.jpg,27.986624
9,data/training_images/9.jpg,28.016352
10,data/training_images/10.jpg,27.981986
11,data/training_images/11.jpg,27.978625
12,data/training_images/12.jpg,28.032331
13,data/training_images/13.jpg,27.960219
14,data/training_images/14.jpg,27.937178
15,data/training_images/15.jpg,27.940599
16,data/training_images/16.jpg,27.908579
17,data/training_images/17.jpg,27.898606
18,data/training_images/18.jpg,27.855982
19,data/training_images/19.jpg,27.795581
20,data/training_images/20.jpg,27.850634
21,data/training_images/21.jpg,27.839349
22,data/training_images/22.jpg,27.824348
23,data/training_images/23.jpg,27.759608
24,data/training_images/24.jpg,27.830055
25,data/training_images/25.jpg,27.761886
26,data/training_images/26.jpg,27.694763
27,data/training_images/27.jpg,27.761203
28,data/training_images/28.jpg,27.691932
29,data/training_images/29.jpg,27.666086
30,data/training_images/30.jpg,27.723912
31,data/training_images/31.jpg,27.639469
32,data/training_images/32.jpg,27.612874
33,data/training_images/33.jpg,27.638534
34,data/training_images/34.jpg,27.606098
35,data/training_images/35.jpg,27.593209
36,data/training_images/36.jpg,27.573926
37,data/training_images/37.jpg,27.561151
38,data/training_images/38.jpg,27.559232
39,data/training_images/39.jpg,27.528067
40,data/training_images/40.jpg,27.522542
41,data/training_images/41.jpg,27.531058
42,data/training_images/42.jpg,27.493015
43,data/training_images/43.jpg,27.487706
44,data/training_images/44.jpg,27.440943
45,data/training_images/45.jpg,27.439646
46,data/training_images/46.jpg,27.412907
47,data/training_images/47.jpg,27.401744
48,data/training_images/48.jpg,27.396007
49,data/training_images/49.jpg,27.35751
50,data/training_images/50.jpg,27.365647
51,data/training_images/51.jpg,27.347638
52,data/training_images/52.jpg,27.302128
53,data/training_images/53.jpg,27.309836
54,data/training_images/54.jpg,27.266277
55,data/training_images/55.jpg,27.266066
56,data/training_images/56.jpg,27.238097
57,data/training_images/57.jpg,27.239031
58,data/training_images/58.jpg,27.227439
59,data/training_images/59.jpg,27.209839
60,data/training_images/60.jpg,27.224821
61,data/training_images/61.jpg,27.181666
62,data/training_images/62.jpg,27.170096
63,data/training_images/63.jpg,27.15459
64,data/training_images/64.jpg,27.104113
65,data/training_images/65.jpg,27.081358
66,data/training_images/66.jpg,27.071874
67,data/training_images/67.jpg,27.073267
68,data/training_images/68.jpg,27.039336
69,data/training_images/69.jpg,27.041493
70,data/training_images/70.jpg,27.018145
71,data/training_images/71.jpg,27.009551
72,data/training_images/72.jpg,26.996247
73,data/training_images/73.jpg,26.954839
74,data/training_images/74.jpg,26.968576
75,data/training_images/75.jpg,26.913075
76,data/training_images/76.jpg,26.903469
77,data/training_images/77.jpg,26.908829
78,data/training_images/78.jpg,26.860309
79,data/training_images/79.jpg,26.86931
